productid,link,product_title,price,actual_price,ratings,color
244,https://www.daraz.com.np/products/acer-aspire-3-15-ryzen-5-7520u-2023-8gb-ddr5-ram-512gb-pcle-nvme-ssd-amd-radeon-graphics-156-fhd-display-silver-i128839902.html,"Acer Aspire 3 15 Ryzen 5 7520U 2023 - 8GB DDR5 RAM- 512GB PCLe NVMe SSD - AMD Radeon Graphics - 15.6"" FHD Display - Silver","Rs. 61,999","Rs. 75,000",No Ratings,White
247,https://www.daraz.com.np/products/hp-victus-15-ryzen-5-7535hs-8gb-ddr5-ram-512-gb-nvme-ssd156-144hrz-display-4gb-rtx-2050-ddr6-graphicsbacklit-keyboard-win-11-i128569850.html,"HP Victus 15 Ryzen 5 7535HS /8GB DDR5 RAM/ 512 GB NVME SSD/15.6"" 144Hrz Display / 4GB RTX 2050 DDR6 Graphics/Backlit Keyboard/ Win 11","Rs. 92,990","Rs. 114,990",No Ratings,Black
253,https://www.daraz.com.np/products/lenovo-ideapad-slim-3-i5-13th-gen-8gb-ram-512gb-ssd-156-fhd-backlight-keyboard-i128495233.html,"Lenovo IdeaPad Slim 3 i5 13th Gen 8GB RAM 512GB SSD 15.6"" FHD Backlight Keyboard","Rs. 69,990","Rs. 78,000",No Ratings,Grey
255,https://www.daraz.com.np/products/dell-latitude-5410-i5-10th-gen-8gb-ram-256gb-nvme-ssd-14-fhd-display-grey-color-i145314412.html,Dell Latitude 5410 i5 10th Gen 8GB RAM 256GB Nvme SSD 14'' FHD Display Grey Color,"Rs. 59,900","Rs. 63,000",No Ratings,Grey
258,https://www.daraz.com.np/products/lenovo-v14-g4-intel-core-i5-13th-gen-13420h-16gb-ddr4-ram-512gb-nvme-ssd-intel-iris-xe-integrated-graphics-14-fhd-display-black-i146161067.html,Lenovo V14 G4 Intel Core i5 13th Gen 13420H – 16GB DDR4 RAM – 512GB NVMe SSD – Intel Iris Xe Integrated Graphics – 14″ FHD Display – Black,"Rs. 79,999","Rs. 88,000",No Ratings,Black
259,https://www.daraz.com.np/products/acer-nitro-v-15-2023-i7-13620h-rtx-4060-8gb-16gb-ram-512gb-ssd-156-fhd-144hz-display-2-year-warranty-i146234679.html,"Acer Nitro V 15 2023 i7 13620H | RTX 4060 8GB | 16GB RAM | 512GB SSD | 15.6"" FHD 144Hz display | 2 Year Warranty","Rs. 147,999","Rs. 150,000",No Ratings,Black
261,https://www.daraz.com.np/products/msi-modern-14-c12mo-laptop-12th-gen-intel-core-i5-16gb-ram-512gb-ssd-14-fhd-ips-wi-fi-6-backlit-keyboard-usb-c-14kg-i129962601.html,"MSI Modern 14 C12MO Laptop (12th Gen Intel Core i5 | 16GB RAM | 512GB SSD | 14"" FHD IPS | Wi-Fi 6 | Backlit Keyboard | USB-C | 1.4KG)","Rs. 80,900","Rs. 85,000",No Ratings,Black
263,https://www.daraz.com.np/products/acer-predator-helios-300-i5-10th-gen-rtx-3060-16gb-ram-512gb-ssd-156-fhd-144hz-display-i128952003.html,"Acer Predator Helios 300 i5 10th Gen RTX 3060 16GB RAM 512GB SSD 15.6"" FHD 144Hz Display","Rs. 117,690","Rs. 155,000",No Ratings,Black
264,https://www.daraz.com.np/products/dell-latitude-3420-core-i5-1135g7-11th-gen8-gb-ram512-gb-nvme14-fhd-win-11-professional-genuine-business-series-i128273616.html,"Dell Latitude 3420 Core i5 1135G7 11th Gen/8 GB RAM/512 GB NVME/14"" FHD/ Win 11 Professional Genuine/ Business Series","Rs. 79,990","Rs. 99,800",No Ratings,Black
266,https://www.daraz.com.np/products/acer-aspire-go-14-amd-ryzen-5-7520u-processor-16gb-ram-512gb-ssd-14-inch-fhd-display-i134853359.html,Acer Aspire Go 14 AMD Ryzen 5 7520U Processor 16GB RAM 512GB SSD 14-inch FHD Display,"Rs. 69,500","Rs. 82,000",No Ratings,Silver
